id,text,label,second_label,confidence,flag,note
SOURCE-charity-02,,,,,NEEDS_SOURCING,
443,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://restartmmberswebsite.uscreen.io/ Netflix Services",,,,,
417,"Hi! I can help you claim a tax credit that could reduce your tax burden by a hundred thousand dollars or more, depending on how many employees you had during COVID. Don't let this opportunity pass by! Can I share more info? YES for more Reply STOP to Unsubscribe",,,,,
428,Dwayne. I'm curious if 1149 Harwich Dr is available. Can we jump on a call and go over a lump sum deal for it? Lmk! Amanda,,,,,
SOURCE-family-emergency-02,,,,,NEEDS_SOURCING,
709,"Hey, I really like your profile and your posts, and if you let me, I would make such an amazing mural out of it! If you don't mind, one of your posts could be my inspiring muse for an art project I'm working on for a client. You will totally get paid for it as well as a bonus and also get credits. Kindly DM for more information.",,,,,
511,"I had returned to LA, thanks for your hospitality and I will let you know in advance when I am Next in San Diego.",,,,,
SOURCE-family-emergency-17,,,,,NEEDS_SOURCING,
606,http://broug.training/lu89eN,,,,,
371,"(We have trouble with your billing information, Please Update 6psf.solvemember24.us/?sign ~) 25LZ",,,,,
SOURCE-family-emergency-11,,,,,NEEDS_SOURCING,
118,FRM:gP8e_-UPS-NFIGe SUBJ:www.92wbj4jzupst.com//49epb8Rw17003# MSG: :IsEqWKMBuM-a4,,,,,
SOURCE-utility-shutoff-05,,,,,NEEDS_SOURCING,
922,"RCS chat with +44 7751 934085. Learn more [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. |||",,,,,
SOURCE-charity-10,,,,,NEEDS_SOURCING,
955,RE/REFUND #5134 - Your Refund Payment link is ready. Get your $231.64 refund here zjlesnt.com/ajWje8BZ,,,,,
938,Your $1000 Stimulus Check for November has been approved. Confirm details ebgicer.com/mDWj392A MMS 1:12 PM,,,,,
63,From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail,,,,,
SOURCE-family-emergency-16,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-13,,,,,NEEDS_SOURCING,
475,"Hi, this is Lieutenant Heimer again, just wanted to follow up. If you are interested in learning more we can schedule a time and date to talk on the phone and discuss this opportunity further.",,,,,
396,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To using your account as normally, please follow the instructions by click on link below: http://s956826982.onlinehome.us/wbsspc/?_undrscan Netflix Services",,,,,
878,"97 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
SOURCE-utility-shutoff-02,,,,,NEEDS_SOURCING,
808,"Your verification code is 118443. This code expires in 24 hours. If it expires, please request a new verification code. This is an automated message. We will not contact you directly to request any personal information. Your verification code is 670198. This code expires in 24 hours. If it expires, please request a new verification code. This is an automated message. We will not contact you directly to request any personal information.",,,,,
509,Hola . . Everly42.pdf PDF Document -74 KB,,,,,
479,HMRC Refund: You have an outstanding Tax refund of £276.74 from 2020 to 2021. Follow instructions to claim your Tax refund at: https://gov-tax.refundpr.com/,,,,,
SOURCE-charity-17,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-13,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-04,,,,,NEEDS_SOURCING,
258,"NETFLIX REMINDER. Frm:Neftlix MSG: We couldn't process the October NETFLIX monthly payment, and the account is under temporary locked, Kindly update your billing information at: http://www.web.billing problem3868.b3k5h.com to regain full access to your account and avoid any restrictions. NET-58259957 Stop.SMS rates may apply October-membership.",,,,,
113,"Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 https://bit.ly/3v9zXuH O°",,,,,
402,From Regions Bank: verify account activity. Did u authorize purchase attempt $511.73 for card ending in 0230 at Walmart supercenter on 10/29/19? Reply yes/no,,,,,
SOURCE-charity-18,,,,,NEEDS_SOURCING,
20,"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: mentioningdears.com/nzWjdtrM93",,,,,
420,"Jack, what are your plans for tomorrow?",,,,,
SOURCE-charity-16,,,,,NEEDS_SOURCING,
928,IRS: After the last annual calculation of your fiscal acitivity we have determined that you are eligble for tax refund under section 501(c) (17) of the Internal Revenue Code. Please submit the Tax Refund Request Form at: https://irs-gov.id23764.tax/tax-refund#irs68796 and allow us 3-9 days to process it. Internal Revenue Service United States Department of the Treasury. TAXID12-073200870,,,,,
SOURCE-medicare-and-health-05,,,,,NEEDS_SOURCING,
SOURCE-charity-06,,,,,NEEDS_SOURCING,
288,"[Notification ] Update your payment details as soon as possible. We're having some trouble with your current billing information. Click link below to update your billing information : https://gotommbr.myclickfunnels.com/ Best Regards, The Netflix team",,,,,
